id,nome,siglaPartido,siglaUf,idLegislatura
204450,Doutor Luizinho,PP,RJ,56
213854,Dr. Agripino Magalhães,PROS,CE,56
204518,DR. FREDERICO,PATRI,MG,56
212625,Dr. Gonçalo,AVANTE,MA,56
204481,Dr. Jaziel,PR,CE,56
213679,Dr. João,PROS,BA,56
204439,Dr. Leonardo,SOLIDARIEDADE,MT,56
204351,Dr. Luiz Ovando,PSL,MS,56
178830,DR. SINVAL MALHEIROS,PODE,SP,56
204412,Dr. Zacharias Calil,DEM,GO,56
81297,Dra. Soraya Manato,PSL,ES,56
204434,Dra. Vanda Milani,SOLIDARIEDADE,AC,56
178994,Dulce Miranda,MDB,TO,56
204562,Edilázio Júnior,PSD,MA,56
141417,Edio Lopes,PR,RR,56
134812,Edmilson Rodrigues,PSOL,PA,56
204421,Edna Henrique,PSDB,PB,56
74655,Eduardo Barbosa,PSDB,MG,56
204541,Eduardo Bismarck,PDT,CE,56
92346,Eduardo Bolsonaro,PSL,SP,56
204552,Eduardo Braide,PMN,MA,56
204500,Eduardo Costa,PTB,PA,56
178977,Eduardo Cury,PSDB,SP,56
141421,Eduardo da Fonte,PP,PE,56
141422,Efraim Filho,DEM,PB,56
74075,Elcione Barbalho,MDB,PA,56
154919,Eleuses Paiva,PSD,SP,56
204364,Eli Borges,SOLIDARIEDADE,TO,56
160532,Eli Corrêa Filho,DEM,SP,56
204389,Elias Vaz,PSB,GO,56
220008,Eliza Virgínia,PP,PB,56
178854,Elmar Nascimento,DEM,BA,56
221149,Elói Pietá,PT,SP,56
218086,Ely Santos,PRB,SP,56
198783,Emanuel Pinheiro Neto,PTB,MT,56
161550,Emidinho Madeira,PSB,MG,56
207309,Enéias Reis,PSL,MG,56
132504,Enio Verri,PT,PR,56
204537,Enrico Misasi,PV,SP,56
160575,Erika Kokay,PT,DF,56
160640,Eros Biondini,PROS,MG,56
204482,Euclydes Pettersen,PSC,MG,56
178871,Evair Vieira de Melo,PP,ES,56
178930,EVANDRO ROMAN,PSD,PR,56
178953,Expedito Netto,PSD,RO,56
211866,FABIANO GALLETTI TOLENTINO,PPS,MG,56
219920,Fabio Barros,PSB,PE,56
141428,Fábio Faria,PSD,RN,56
68720,Fábio Henrique,PDT,SE,56
178969,Fábio Mitidieri,PSD,SE,56
141427,Fábio Ramalho,MDB,MG,56
171623,Fabio Reis,MDB,SE,56
204368,Fabio Schiochet,PSL,SC,56
160587,Fábio Trad,PSD,MS,56
66828,Fausto Pinato,PP,SP,56
204477,Felício Laterça,PSL,RJ,56
72442,Felipe Carreras,PSB,PE,56
204398,Felipe Francischini,PSL,PR,56
204371,Felipe Rigoni,PSB,ES,56
160666,Félix Mendonça Júnior,PDT,BA,56
204407,Fernanda Melchionna,PSOL,RS,56
212504,Fernando Borja,AVANTE,MG,56
141431,Fernando Coelho Filho,DEM,PE,56
92699,Fernando Monteiro,PP,PE,56
204427,Fernando Rodolfo,PHS,PE,56
204411,Filipe Barros,PSL,PR,56
204354,Flávia Arruda,PR,DF,56
160598,Flávia Morais,PDT,GO,56
141434,Flaviano Melo,MDB,AC,56
191923,FLAVIO NOGUEIRA,PDT,PI,56
204447,Flordelis,PSD,RJ,56
204392,Francisco Jr.,PSD,GO,56
204510,Franco Cartafina,PHS,MG,56
204494,FRED COSTA,PATRI,MG,56
204393,Frei Anastacio Ribeiro,PT,PB,56
74200,Gastão Vieira,PROS,MA,56
115746,Gelson Azevedo,PHS,RJ,56
160669,Genecias Noronha,SOLIDARIEDADE,CE,56
204473,General Girão,PSL,RN,56
204484,General Peternelli,PSL,SP,56
204527,Geninho Zuliani,DEM,SP,56
178966,Geovania de Sá,PSDB,SC,56
74374,Geraldo Resende,PSDB,MS,56
204394,Gervásio Maia,PSB,PB,56
74383,Giacobo,PR,PR,56
204575,Gil Cutrim,PDT,MA,56
204491,Gilberto Abramo,PRB,MG,56
74270,Gilberto Nascimento,PSC,SP,56
204570,GILDENEMYR,PMN,MA,56
204365,Gilson Marques,NOVO,SC,56
160673,Giovani Cherini,PR,RS,56
178996,Giovani Feltes,MDB,RS,56
152605,Glauber Braga,PSOL,RJ,56
204419,Glaustin da Fokus,PSC,GO,56
107283,Gleisi Hoffmann,PT,PR,56
74419,Gonzaga Patriota,PSB,PE,56
129618,Gorete Pereira,PR,CE,56
198197,Greyce Elias,AVANTE,MG,56
204513,Guiga Peixoto,PSL,SP,56
160667,Guilherme Mussi,PP,SP,56
204442,GURGEL,PSL,RJ,56
73460,Gustavo Fruet,PDT,PR,56
204408,Gustinho Ribeiro,SOLIDARIEDADE,SE,56
204456,Gutemberg Reis,MDB,RJ,56
204465,Haroldo Cathedral,PSD,RR,56
204548,Heitor Freire,PSL,CE,56
178964,Heitor Schuch,PSB,RS,56
178873,Helder Salomão,PT,ES,56
204373,Hélio Costa,PRB,SC,56
178909,Hélio Leite,DEM,PA,56
204444,Helio Lopes,PSL,RJ,56
217036,Henrique do Paraíso,PRB,SP,56
73482,Henrique Fontana,PT,RS,56
204539,Hercílio Coelho Diniz,MDB,MG,56
178981,Herculano Passos,MDB,SP,56
73772,Hermes Parcianello,MDB,PR,56
178884,Hildo Rocha,MDB,MA,56
